Publication Year,Author,Title,Publication Title,ISBN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Publisher,Language,Manual Tags,Conference Name
2011,"Andreeva, Bistra; Wolska, Magdalena",The “fortis-lenis” distinction in Bulgarian and German,Interspeech 2011,,10.21437/Interspeech.2011-682,https://www.isca-speech.org/archive/interspeech_2011/andreeva11_interspeech.html,"The present study investigates the voicing contrast in Bulgarian and German. Analyses of two production experiments are reported. In the first experiment logatoms were constructed containing /p, t, k/ and /b, d, g/ in intervocalic position. In the second experiment one Bulgarian and one German sentence were elicited in different focus conditions resulting in different accentuation levels. Based on the obtained data we analyze the phonetic implementation of the phonological categories voiced vs. voiceless and the influence of focus condition and accentuation. It is shown, that: First, the two languages differ in the phonetic realization of /p, t, k/ but not /b, d, g/ in intervocalic position in terms of voice onset time (short lag in Bulgarian and long lag in German). Second, accentuation levels are realised in different ways in the two languages.",27/08/2011,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:13,2669-2672,ISCA,en,prosody,Interspeech 2011
2012,"Andreeva, Bistra; Barry, William; Wolska, Magdalena",Language differences in the perceptual weight of prominence-lending properties,Interspeech 2012,,10.21437/Interspeech.2012-635,https://www.isca-speech.org/archive/interspeech_2012/andreeva12_interspeech.html,"A Bulgarian and a German sentence were presented to Bulgarian and German listeners together with a question which either expected an early narrow focus or a late narrow focus. The answering sentences were manipulated so that the word in the latefocused position ranged from completely de-accented to strongly accented. The early focused position was neutral, allowing latefocus perception with late strong accentuation and early focus with de-accentuation of the late-focus position. Accentuation strength of the late position was varied by changing the duration, intensity and f0 values individually between accented and low de-accented. Subjects were asked to judge the suitability of the answers to the question. Results show the relative contribution of the three parameters to the acceptability of the word in the late focus position as focally accented or de-accented. Differences between Bulgarian and German in the relative weighting of the parameters are revealed.",09/09/2012,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:13,2426-2429,ISCA,en,prosody,Interspeech 2012
2004,"Angkititrakul, Pongtep; Baghaii, Sepideh; Hansen, John H. L.",Cluster-dependent modeling and confidence measure processing for in-set/out-of-set speaker identification,Interspeech 2004,,10.21437/Interspeech.2004-537,https://www.isca-speech.org/archive/interspeech_2004/angkititrakul04_interspeech.html,"In this paper, we propose an approach to address the problem of text-independent open-set speaker identiﬁcation. The in-set speakers are clustered into smaller subsets without merging speaker models. The Anti-Speaker or Background Model is then adapted for each subset which minimizes the identiﬁcation errors of the pseudo impostors during the training stage. Score normalization is applied to align all the in-set speaker score distributions to share a single scale. Finally, conﬁdence measure processing is used to identify in-set versus out-of-set speakers. Experiments with TIMIT and the CU-Accent corpora show an improvement in Equal Error Rate on ¢ ¢ the average of 20.28 and 8.35 over the baseline performance respectively. Finally, a probe experiment is also included that considers prosody for in-set speaker detection.",04/10/2004,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:13,2385-2388,ISCA,en,L1-or-L2,Interspeech 2004
2011,"Anumanchipalli, Gopala Krishna; Oliveira, Luís C.; Black, Alan W.",A statistical phrase/accent model for intonation modeling,Interspeech 2011,,10.21437/Interspeech.2011-36,https://www.isca-speech.org/archive/interspeech_2011/anumanchipalli11_interspeech.html,"This paper proposes a statistical phrase/accent model of voice fundamental frequency(F0) for speech synthesis. It presents an approach for automatic extraction and modeling of phrase and accent phenomena from F0 contours by taking into account their overall trends in the training data. An iterative optimization algorithm is described to extract these components, minimizing the reconstruction error of the F0 contour. This method of modeling local and global components of F0 separately is shown to be better than conventional F0 models used in Statistical Parametric Speech Synthesis (SPSS). Perceptual evaluations conﬁrm that the proposed model is signiﬁcantly better than baseline SPSS F0 models in 3 prosodically diverse tasks –read speech, radio broadcast speech and audio book speech.",27/08/2011,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:13,1813-1816,ISCA,en,prosody,Interspeech 2011
2013,"Aryal, Sandesh; Felps, Daniel; Gutierrez-Osuna, Ricardo",Foreign accent conversion through voice morphing,Interspeech 2013,,10.21437/Interspeech.2013-671,https://www.isca-speech.org/archive/interspeech_2013/aryal13_interspeech.html,"We present a voice morphing strategy that can be used to generate a continuum of accent transformations between a foreign speaker and a native speaker. The approach performs a cepstral decomposition of speech into spectral slope and spectral detail. Accent conversions are then generated by combining the spectral slope of the foreign speaker with a morph of the spectral detail of the native speaker. Spectral morphing is achieved by representing the spectral detail through pulse density modulation and averaging pulses in a pair-wise fashion. The technique is validated on parallel recordings from two ARCTIC speakers using both objective and subjective measures of acoustic quality, speaker identity and foreign accent.",25/08/2013,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:13,3077-3081,ISCA,en,L2,Interspeech 2013
2015,"Aryal, Sandesh; Gutierrez-Osuna, Ricardo",Articulatory-based conversion of foreign accents with deep neural networks,Interspeech 2015,,10.21437/Interspeech.2015-145,https://www.isca-speech.org/archive/interspeech_2015/aryal15_interspeech.html,"We present an articulatory-based method for real-time accent conversion using deep neural networks (DNN). The approach consists of two steps. First, we train a DNN articulatory synthesizer for the non-native speaker that estimates acoustics from contextualized articulatory gestures. Then we drive the DNN with articulatory gestures from a reference native speaker –mapped to the nonnative articulatory space via a Procrustes transform. We evaluate the accent-conversion performance of the DNN through a series of listening tests of intelligibility, voice identity and nonnative accentedness. Compared to a baseline method based on Gaussian mixture models, the DNN accent conversions were found to be 31% more intelligible, and were perceived more native-like in 68% of the cases. The DNN also succeeded in preserving the voice identity of the nonnative speaker.",06/09/2015,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:13,3385-3389,ISCA,en,L2,Interspeech 2015
2016,"Aryal, Sandesh; Gutierrez-Osuna, Ricardo",Comparing Articulatory and Acoustic Strategies for Reducing Non-Native Accents,Interspeech 2016,,10.21437/Interspeech.2016-1131,https://www.isca-speech.org/archive/interspeech_2016/aryal16_interspeech.html,"This article presents an experimental comparison of two types of techniques, articulatory and acoustic, for transforming nonnative speech to sound more native-like. Articulatory techniques use articulators from a native speaker to drive an articulatory synthesizer of the non-native speaker. These methods have a good theoretical justification, but articulatory measurements (e.g., via electromagnetic articulography) are difficult to obtain. In contrast, acoustic methods use techniques from the voice conversion literature to build a mapping between the two acoustic spaces, making them more attractive for practical applications (e.g., language learning). We compare two representative implementations of these approaches, both based on statistical parametric speech synthesis. Through a series of perceptual listening tests, we evaluate the two approaches in terms of accent reduction, speech intelligibility and speaker quality. Our results show that the acoustic method is more effective than the articulatory method in reducing perceptual ratings of non-native accents, and also produces synthesis of higher intelligibility while preserving voice quality.",08/09/2016,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:13,312-316,ISCA,en,L2,Interspeech 2016
2012,"Ashby, Simone; Barbosa, Sílvia; Brandão, Silvia; Ferreira, José Pedro; Janssen, Maarten; Silva, Catarina; Viaro, Mário Eduardo",A Rule Based Pronunciation Generator and Regional Accent Databank for Portuguese,,,,,"One of the major obstacles in deploying spoken language technologies (SLTs) in the developing world is a lack of key linguistic resources – e.g. electronic dictionaries, phonetically aligned corpora, pronunciation lexicons, etc. – that describe the non-dominant varieties spoken in such countries and regions. In this paper, we describe the work of the LUPo (Portuguese Unisyn Lexicon) project to model standard and non-standard varieties of spoken Portuguese from around the globe, and: (1) deliver a free, open-source tool for the automatic generation of accent-specific pronunciation lexica within the existing online lexical knowledge base, the Portal da Língua Portuguesa; and (2) provide the research and speech technology communities with a free, online, searchable database, the Portuguese RADbank, dedicated to the description of regional varieties of spoken Portuguese. Both resources are presented as bases for adapting SLTs to regional varieties spoken in the Luso-African and Luso-Asian world, as well as to non-standard varieties of Brazilian and European Portuguese.",2012,22/02/2023 10:34,22/02/2023 10:34,,,,en,L1,
,"Astrinaki, Maria; Yamagishi, Junichi; King, Simon",Reactive accent interpolation through an interactive map application,,,,,"In this paper, we present our ﬁrst prototype system for interactive accent control using HMM-based speech synthesis. In this application, voices in various English accents including American, Canadian and British, are controlled and interpolated by the user using gestures acquired via an interactive geographical map in real time. Users can choose the gender of the voices to manipulate and the accent interpolation strategy: either interpolation of all available speakers within an area or the N -nearest speakers around a point.",,22/02/2023 10:34,22/02/2023 10:34,,,,en,L1-or-L2,
2012,"Avanzi, Mathieu; Dubosson, Pauline; Schwab, Sandra; Obin, Nicolas","Accentual transfer from Swiss-German to French. a study of ""francais federal""",Interspeech 2012,,10.21437/Interspeech.2012-37,https://www.isca-speech.org/archive/interspeech_2012/avanzi12_interspeech.html,"This study aims at examining the accentual and phrasing properties of a variety of L2 French commonly called “Français Fédéral”, a variety of French spoken in Switzerland by speakers who have a Swiss-German dialect as a mother tongue. For this, we compared the data of 4 groups of 4 speakers: 2 groups of 4 native French speakers from Neuchâtel and from Paris, and 2 groups of 4 Swiss-German French speakers from Bern and Zürich. The data are semi-automatically processed, and three main prosodic features relating to accentuation and phrasing are examined: prominence distribution and metrical weight of the Phonological Phrase, respect of Phonological Phrase formation constraints (Align-XP and No-clash), and realizations of sandhis phenomena within and across the Phonological Phrases boundaries. Our findings suggest that “Français Fédéral” share several features with a lexical accentuation system rather than with a supra-lexical accentuation system.",09/09/2012,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:13,106-109,ISCA,en,prosody,Interspeech 2012
