Publication Year,Author,Title,Publication Title,ISBN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Publisher,Language,Manual Tags,Conference Name
2012,"Andreeva, Bistra; Barry, William; Wolska, Magdalena",Language differences in the perceptual weight of prominence-lending properties,Interspeech 2012,,10.21437/Interspeech.2012-635,https://www.isca-speech.org/archive/interspeech_2012/andreeva12_interspeech.html,"A Bulgarian and a German sentence were presented to Bulgarian and German listeners together with a question which either expected an early narrow focus or a late narrow focus. The answering sentences were manipulated so that the word in the latefocused position ranged from completely de-accented to strongly accented. The early focused position was neutral, allowing latefocus perception with late strong accentuation and early focus with de-accentuation of the late-focus position. Accentuation strength of the late position was varied by changing the duration, intensity and f0 values individually between accented and low de-accented. Subjects were asked to judge the suitability of the answers to the question. Results show the relative contribution of the three parameters to the acceptability of the word in the late focus position as focally accented or de-accented. Differences between Bulgarian and German in the relative weighting of the parameters are revealed.",09/09/2012,22/02/2023 10:36,22/02/2023 10:36,30/01/2023 14:17,2426-2429,ISCA,en,prosody,Interspeech 2012
2015,"Aryal, Sandesh; Gutierrez-Osuna, Ricardo",Articulatory-based conversion of foreign accents with deep neural networks,Interspeech 2015,,10.21437/Interspeech.2015-145,https://www.isca-speech.org/archive/interspeech_2015/aryal15_interspeech.html,"We present an articulatory-based method for real-time accent conversion using deep neural networks (DNN). The approach consists of two steps. First, we train a DNN articulatory synthesizer for the non-native speaker that estimates acoustics from contextualized articulatory gestures. Then we drive the DNN with articulatory gestures from a reference native speaker –mapped to the nonnative articulatory space via a Procrustes transform. We evaluate the accent-conversion performance of the DNN through a series of listening tests of intelligibility, voice identity and nonnative accentedness. Compared to a baseline method based on Gaussian mixture models, the DNN accent conversions were found to be 31% more intelligible, and were perceived more native-like in 68% of the cases. The DNN also succeeded in preserving the voice identity of the nonnative speaker.",06/09/2015,22/02/2023 10:36,26/02/2023 12:55,30/01/2023 14:17,3385-3389,ISCA,en,L2; voice-conversion; no-motivation; no-description-of-accent,Interspeech 2015
2007,"Barry, William; Andreeva, Bistra; Steiner, Ingmar",The phonetic exponency of phrasal accentuation in French and German,Interspeech 2007,,10.21437/Interspeech.2007-355,https://www.isca-speech.org/archive/interspeech_2007/barry07_interspeech.html,"The acoustic-phonetic properties of words spoken with three different levels of accentuation (de-accented, pre-nuclear and nuclear accented in broad-focus and nuclear accented in narrow-focus) are examined in question-answer elicited sentences and iterative imitations (on the syllable da) produced by six French and six German speakers. Normalised parameter values allow a comparative weighting of the properties employed in differentiating the three levels of accentuation. Clear differences are found between French and German in the weighting hierarchy of the acoustic properties.",27/08/2007,22/02/2023 10:36,22/02/2023 10:36,30/01/2023 14:17,1010-1013,ISCA,en,prosody,Interspeech 2007
2015,"Chen, Mingming; Yang, Zhanlei; Liang, Jizhong; Li, Yanpeng; Liu, Wenju",Improving deep neural networks based multi-accent Mandarin speech recognition using i-vectors and accent-specific top layer,Interspeech 2015,,10.21437/Interspeech.2015-718,https://www.isca-speech.org/archive/interspeech_2015/chen15s_interspeech.html,"In this paper, we propose a method that use i-vectors and model adaptation techniques to improve the performance of deep neural networks(DNNs) based multi-accent Mandarin speech recognition. I-vectors which are speaker-speciﬁc features have been proved to be effective when used in accent identiﬁcation. They can be used in company with conventional spectral features as the input features of DNNs to improve the discrimination for different accents. Meanwhile, we adapt DNNs to different accents by using an accent-speciﬁc top layer and shared hidden layers. The accent-speciﬁc top layer is used to adapt to different accents while the share hidden layers which can be seen as feature extractors can extract discriminative highlevel features between different accents. These two techniques are complementary and can be easily combined together. Our experiments on the 400-hours Intel Accented Mandarin Speech Recognition Corpus show that our proposed method can signiﬁcantly improve the performance of DNNs-based accented Mandarin speech recognition.",06/09/2015,22/02/2023 10:36,07/03/2023 11:32,30/01/2023 14:17,3620-3624,ISCA,en,mandarin; L1; no-description-of-accent; wrong-def; lang-in-title,Interspeech 2015
2022,"Chung, Raymond; Mak, Brian",Synthesizing Near Native-accented Speech for a Non-native Speaker by Imitating the Pronunciation and Prosody of a Native Speaker,Interspeech 2022,,10.21437/Interspeech.2022-11124,https://www.isca-speech.org/archive/interspeech_2022/chung22_interspeech.html,"This paper investigates how to reduce foreign accent in the synthesis of native (L1) speech for a non-native (L2) speaker. We focus on two major aspects of foreign accents: mispronunciations and improper prosody (rhythm, phonemes duration, and pauses). Firstly, to reduce mispronunciations, the melspectrograms generated by an L2 text-to-speech (TTS) model are fed to a pre-trained speech recognizer and the mispronunciation information is fed back to the TTS model during back-propagation to help the model learn correct native melspectrograms. Secondly, to imitate L1 speech prosody, a recent data augmentation (DA) technique originally proposed for speaking style transfer is applied to transfer L1 speaking style to L2 speakers. The DA technique creates additional L2 speeches when L2 speakers try to imitate L1 speeches. Automatic speech recognition on native-accented speeches synthesized from nonnative speakers by the proposed method gives a lower word error rate. The speaker embeddings produced by a pre-trained speaker veriﬁer from the original L2 speakers’ speech and their synthesized speech are highly similar. Finally, subjective MOS scores on the synthesized speech show that they have good quality and reduced accentedness.",18/09/2022,22/02/2023 10:36,27/02/2023 07:42,30/01/2023 14:17,4302-4306,ISCA,en,L2; voice-conversion; synthesis; TTS; teaching; accentedness-rating,Interspeech 2022
2018,"Davis, Chris; Kim, Jeesun",Characterizing Rhythm Differences between Strong and Weak Accented L2 Speech,Interspeech 2018,,10.21437/Interspeech.2018-1798,https://www.isca-speech.org/archive/interspeech_2018/davis18_interspeech.html,"This study examined the rhythmic characteristics of accented L2 speech by using two relatively novel measures of prosodic rhythm: The S-AMPH measure, an index of the degree of synchrony between the stress and syllable amplitude modulation rates; and the Allan Factor measure, that determines the nested clustering of temporal events (in this case peaks in the amplitude envelope) over different timescales. An extremegroup design was used to select strong versus weak foreign accent recordings from a group of Korean and French L2 English talkers saying the same 69-word English passage. For the Korean talkers, both the S-AMPH and the Allan Factor measures differed as a function of the strength of foreign accent. This was not the case for the French talkers, where neither measure differed as a function of foreign accent strength. The difference in outcome between the Korean and French talkers suggests that the measures are not indexing some general property of L2 accent (e.g., production fluency) but rather that picking up some property specific to the strongly accented Korean talkers. We consider several options.",02/09/2018,22/02/2023 10:36,07/03/2023 12:47,30/01/2023 14:17,2568-2572,ISCA,en,L2; perception-study; some-description; accentedness-rating; unaccented/non-accented; speaker-description; no-listener-description,Interspeech 2018
2021,"Deng, Keqi; Cao, Songjun; Ma, Long",Improving Accent Identification and Accented Speech Recognition Under a Framework of Self-Supervised Learning,Interspeech 2021,,10.21437/Interspeech.2021-1186,https://www.isca-speech.org/archive/interspeech_2021/deng21b_interspeech.html,"Recently, self-supervised pre-training has gained success in automatic speech recognition (ASR). However, considering the difference between speech accents in real scenarios, how to identify accents and use accent features to improve ASR is still challenging. In this paper, we employ the self-supervised pre-training method for both accent identiﬁcation and accented speech recognition tasks. For the former task, a standard deviation constraint loss (SDC-loss) based end-to-end (E2E) architecture is proposed to identify accents under the same language. As for accented speech recognition task, we design an accent-dependent ASR system, which can utilize additional accent input features. Furthermore, we propose a frame-level accent feature, which is extracted based on the proposed accent identiﬁcation model and can be dynamically adjusted. We pretrain our models using 960 hours unlabeled LibriSpeech dataset and ﬁne-tune them on AESRC2020 speech dataset. The experimental results show that our proposed accent-dependent ASR system is signiﬁcantly ahead of the AESRC2020 baseline and achieves 6.5% relative word error rate (WER) reduction compared with our accent-independent ASR system.",30/08/2021,22/02/2023 10:36,22/02/2023 10:36,30/01/2023 14:17,1504-1508,ISCA,en,accent-identification,Interspeech 2021
2006,"Ding, Pei; He, Lei; Yan, Xiang; Hao, Jie",Robust automatic speech recognition for accented Mandarin in car environments,Interspeech 2006,,10.21437/Interspeech.2006-637,https://www.isca-speech.org/archive/interspeech_2006/ding06_interspeech.html,,17/09/2006,22/02/2023 10:36,07/03/2023 11:33,30/01/2023 14:17,paper 1764-Thu2CaP.6-0,ISCA,en,ASR; mandarin; L1; no-description-of-accent; lang-in-title,Interspeech 2006
2008,"Ding, Guo-Hong",Phonetic confusion analysis and robust phone set generation for Shanghai-accented Mandarin speech recognition,Interspeech 2008,,10.21437/Interspeech.2008-344,https://www.isca-speech.org/archive/interspeech_2008/ding08d_interspeech.html,"In this paper, accent issues are discussed for Shanghai-accented Mandarin speech recognition. The phonetic confusion is analyzed in detail based on the alignment between the surface form and the baseform transcriptions. Mutual information is used as the measure to extract the most confusing phoneme pairs. It was found that each phoneme in one pair can be easily misrecognized with the other. To remove the phonetic confusion, it is better to replace the two phonemes in one pair with a newly generated one. Consequentially new phone sets are derived. The phonetic confusion analysis and the experimental evaluation are performed on a Shanghai-accented Mandarin speech corpus. Experimental results show that compared to the canonical phone set, the generated one can reduce the substitution error greatly and achieve a 0.72% absolute Chinese character error rate (CER) reduction. When it is combined with pronunciation modeling, the absolute CER reduction is 1.58%.",22/09/2008,22/02/2023 10:36,07/03/2023 11:32,30/01/2023 14:17,1129-1132,ISCA,en,ASR; mandarin; L1; some-description; accent-in-title,Interspeech 2008
2004,"Dohen, Marion; Loevenbruck, Helene","Pre-focal rephrasing, focal enhancement and postfocal deaccentuation in French",Interspeech 2004,,10.21437/Interspeech.2004-296,https://www.isca-speech.org/archive/interspeech_2004/dohen04_interspeech.html,"This study aims at better describing the acoustic correlates of contrastive focus in French. A corpus was recorded from a male native speaker of French. It consisted of sentences with a subject-verb-object (SVO) structure under four conditions: focus on each phrase (S,V,O) and broad focus. The focal, pre-focal and post-focal constituents were studied separately. The acoustic analysis showed that: a) the pitch of the focal constituent rises, b) that of the surrounding constituents decreases, c) the duration of the focal syllables and of the pre-focal syllable increases, the onset of the focal constituent increasing the most, d) the pre-focal sequence is rephrased, e) the post-focal sequence is deaccented.",04/10/2004,22/02/2023 10:36,22/02/2023 10:36,30/01/2023 14:18,785-788,ISCA,en,prosody,Interspeech 2004
